A/D,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.3333333333333333,0.888888888888889,0.6666666666666666,0.4444444444444445,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,1.3333333333333333,1.0,0.8333333333333333,0.6666666666666666,0.5,0.33333333333333337,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.3333333333333335,1.7777777777777777,1.3333333333333333,1.1111111111111112,0.9333333333333333,0.8,0.6666666666666666,0.5333333333333334,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.6666666666666665,2.111111111111111,1.666666666666667,1.3888888888888888,1.1666666666666667,1.0,0.888888888888889,0.7777777777777779,0.6666666666666666,0.5555555555555556,0.4444444444444446,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.0,2.3333333333333335,2.0,1.6666666666666667,1.4,1.2,1.066666666666667,0.9523809523809524,0.8571428571428572,0.7619047619047619,0.6666666666666666,0.5714285714285714,0.5,0.4444444444444446,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.0,2.555555555555556,2.1666666666666665,1.888888888888889,1.633333333333334,1.4000000000000001,1.2444444444444445,1.1111111111111112,1.0,0.9166666666666669,0.8333333333333335,0.75,0.6666666666666666,0.5833333333333333,0.5000000000000001,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3.0,2.6666666666666665,2.3333333333333335,2.066666666666667,1.8333333333333335,1.5999999999999999,1.4222222222222225,1.2698412698412702,1.1428571428571428,1.0476190476190477,0.962962962962963,0.888888888888889,0.8148148148148153,0.7407407407407408,0.6666666666666666,0.5925925925925927,0.5333333333333333,0.4444444444444447,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3.0,3.0,2.5,2.2,2.0,1.7999999999999998,1.6,1.4285714285714288,1.2857142857142856,1.1785714285714288,1.0833333333333335,1.0,0.9333333333333335,0.8666666666666674,0.8000000000000003,0.7333333333333335,0.6666666666666666,0.6,0.5333333333333334,0.5000000000000001,0.44444444444444453,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
10,3.0,3.0,2.6666666666666665,2.333333333333333,2.111111111111111,1.9333333333333338,1.7555555555555555,1.5873015873015877,1.4285714285714288,1.3095238095238095,1.2037037037037037,1.1111111111111112,1.0370370370370368,0.9696969696969696,0.9090909090909092,0.8484848484848494,0.7878787878787881,0.7272727272727274,0.6666666666666666,0.606060606060606,0.5555555555555556,0.5,0.44444444444444575,0.44444444444444453,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
11,3.0,3.0,2.6666666666666665,2.466666666666667,2.2222222222222228,2.0476190476190474,1.8888888888888895,1.7301587301587302,1.5714285714285714,1.4404761904761905,1.324074074074074,1.2222222222222223,1.1407407407407406,1.0666666666666667,1.0000000000000004,0.9444444444444443,0.8888888888888888,0.8333333333333333,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.5555555555555567,0.5,0.44444444444444514,0.4444444444444444,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.3333333333333333
12,3.0,3.0,3.0,2.555555555555556,2.333333333333333,2.1428571428571432,2.0000000000000004,1.8571428571428568,1.7142857142857142,1.571428571428571,1.4444444444444446,1.3333333333333335,1.2444444444444447,1.1636363636363638,1.0909090909090913,1.0303030303030303,0.9743589743589746,0.9230769230769232,0.8717948717948718,0.8205128205128207,0.7692307692307693,0.717948717948718,0.6666666666666669,0.6153846153846154,0.5714285714285714,0.5333333333333335,0.5000000000000002,0.4444444444444444,0.44444444444444453,0.3333333333333333
13,3.0,3.0,3.0,2.6666666666666665,2.4444444444444446,2.238095238095238,2.083333333333334,1.952380952380952,1.8214285714285714,1.6904761904761907,1.5648148148148149,1.4444444444444446,1.3481481481481479,1.2606060606060607,1.1818181818181819,1.1161616161616164,1.0555555555555556,1.0000000000000002,0.9523809523809539,0.9047619047619057,0.857142857142857,0.8095238095238094,0.7619047619047622,0.7142857142857142,0.6666666666666666,0.619047619047619,0.5714285714285714,0.5333333333333333,0.5000000000000002,0.4444444444444447
14,3.0,3.0,3.0,2.6666666666666665,2.5555555555555562,2.333333333333334,2.1666666666666665,2.0370370370370368,1.916666666666667,1.7962962962962963,1.6759259259259263,1.555555555555557,1.4518518518518522,1.3575757575757577,1.2727272727272734,1.2020202020202022,1.136752136752137,1.0769230769230766,1.025641025641026,0.9777777777777781,0.9333333333333337,0.8888888888888888,0.8444444444444446,0.8000000000000005,0.7555555555555555,0.7111111111111111,0.6666666666666669,0.6222222222222222,0.5833333333333335,0.5333333333333345
15,3.0,3.0,3.0,3.0,2.6666666666666665,2.428571428571429,2.25,2.1111111111111116,2.0000000000000004,1.888888888888889,1.7777777777777783,1.666666666666667,1.5555555555555554,1.4545454545454546,1.3636363636363638,1.2878787878787878,1.2179487179487178,1.1538461538461537,1.0989010989010992,1.047619047619048,1.0000000000000002,0.9583333333333341,0.9166666666666667,0.8750000000000004,0.8333333333333334,0.7916666666666673,0.75,0.7083333333333334,0.6666666666666666,0.6249999999999999
16,3.0,3.0,3.0,3.0,2.6666666666666665,2.5,2.3333333333333335,2.1851851851851847,2.0666666666666673,1.962962962962964,1.8592592592592592,1.755555555555555,1.651851851851852,1.5515151515151515,1.4545454545454541,1.373737373737374,1.2991452991452999,1.230769230769231,1.1721611721611727,1.117460317460318,1.0666666666666667,1.0222222222222226,0.9803921568627451,0.9411764705882355,0.9019607843137258,0.8627450980392158,0.8235294117647061,0.7843137254901961,0.7450980392156868,0.7058823529411772
17,3.0,3.0,3.0,3.0,2.6666666666666665,2.555555555555556,2.4166666666666665,2.2592592592592595,2.133333333333334,2.0303030303030303,1.9333333333333347,1.836363636363637,1.7393939393939395,1.6424242424242423,1.5454545454545459,1.4595959595959593,1.3803418803418805,1.3076923076923082,1.2454212454212457,1.1873015873015873,1.1333333333333364,1.0861111111111115,1.0416666666666667,1.0000000000000002,0.9629629629629632,0.9259259259259264,0.88888888888889,0.8518518518518524,0.8148148148148153,0.7777777777777793
18,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.5,2.3333333333333335,2.2,2.0909090909090913,2.0000000000000004,1.9090909090909096,1.8181818181818186,1.7272727272727275,1.636363636363637,1.5454545454545463,1.4615384615384612,1.3846153846153846,1.3186813186813189,1.2571428571428571,1.2000000000000048,1.1500000000000004,1.1029411764705883,1.0588235294117643,1.019607843137255,0.982456140350878,0.9473684210526324,0.9122807017543859,0.8771929824561419,0.842105263157895
19,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.555555555555556,2.4074074074074074,2.2666666666666666,2.1515151515151527,2.055555555555556,1.969696969696969,1.8838383838383845,1.797979797979798,1.7121212121212128,1.6262626262626265,1.5427350427350426,1.4615384615384617,1.3919413919413923,1.326984126984127,1.266666666666667,1.2138888888888892,1.1642156862745099,1.1176470588235299,1.0762527233115469,1.0370370370370379,1.0,0.9666666666666675,0.9333333333333339,0.9
20,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.6666666666666665,2.466666666666667,2.3333333333333335,2.212121212121212,2.1111111111111116,2.025641025641027,1.9444444444444449,1.8632478632478644,1.7820512820512828,1.7008547008547021,1.6196581196581197,1.5384615384615388,1.4652014652014658,1.396825396825397,1.3333333333333335,1.277777777777778,1.225490196078432,1.176470588235295,1.1328976034858391,1.0916179337231975,1.052631578947369,1.0175438596491229,0.9841269841269848,0.9523809523809531
21,3.0,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.5555555555555562,2.4000000000000004,2.272727272727273,2.166666666666667,2.0769230769230775,2.000000000000001,1.9230769230769245,1.8461538461538467,1.7692307692307698,1.6923076923076932,1.6153846153846159,1.5384615384615434,1.466666666666667,1.4000000000000004,1.341666666666667,1.2867647058823526,1.235294117647059,1.1895424836601314,1.146198830409359,1.1052631578947374,1.0684210526315792,1.0333333333333334,1.0
22,3.0,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.555555555555556,2.4666666666666672,2.333333333333334,2.2222222222222223,2.128205128205129,2.047619047619048,1.9743589743589753,1.9010989010989006,1.8278388278388291,1.7545787545787914,1.681318681318682,1.608058608058608,1.5365079365079368,1.4666666666666666,1.4055555555555572,1.3480392156862746,1.2941176470588238,1.2461873638344245,1.200779727095517,1.1578947368421053,1.1192982456140352,1.0825396825396825,1.047619047619048
23,3.0,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.6666666666666665,2.5,2.393939393939394,2.277777777777778,2.179487179487181,2.095238095238096,2.022222222222222,1.9523809523809523,1.8825396825396827,1.812698412698413,1.7428571428571427,1.6730158730158746,1.6031746031746035,1.533333333333333,1.4694444444444439,1.4093137254901964,1.3529411764705883,1.3028322440087143,1.2553606237816768,1.2105263157894737,1.1701754385964918,1.1317460317460315,1.0952380952380951
24,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.5555555555555567,2.4444444444444446,2.333333333333334,2.230769230769231,2.142857142857144,2.066666666666667,2.0,1.9333333333333336,1.8666666666666671,1.7999999999999994,1.733333333333335,1.666666666666667,1.6,1.5333333333333334,1.4705882352941175,1.4117647058823528,1.3594771241830068,1.3099415204678362,1.2631578947368423,1.2210526315789472,1.1809523809523839,1.1428571428571428
25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.6666666666666665,2.5000000000000036,2.3888888888888897,2.282051282051281,2.1904761904761916,2.1111111111111107,2.041666666666667,1.9777777777777783,1.9138888888888888,1.8499999999999999,1.786111111111113,1.7222222222222219,1.6583333333333325,1.5944444444444446,1.5318627450980395,1.4705882352941186,1.416122004357301,1.3645224171539962,1.3157894736842113,1.271929824561404,1.23015873015873,1.1904761904761922
26,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.6666666666666665,2.555555555555556,2.4444444444444446,2.3333333333333335,2.238095238095238,2.155555555555556,2.0833333333333335,2.0196078431372557,1.958333333333334,1.8970588235294128,1.8357843137254906,1.7745098039215708,1.7132352941176487,1.6519607843137267,1.5906862745098038,1.5294117647058816,1.472766884531593,1.4191033138401556,1.3684210526315799,1.3228070175438595,1.2793650793650801,1.2380952380952386
27,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.5555555555555562,2.5,2.384615384615386,2.2857142857142865,2.2000000000000006,2.1249999999999996,2.058823529411765,2.0000000000000004,1.9411764705882355,1.8823529411764723,1.8235294117647063,1.7647058823529433,1.70588235294118,1.6470588235294137,1.5882352941176474,1.5294117647058827,1.4736842105263146,1.4210526315789473,1.3736842105263154,1.3285714285714287,1.2857142857142858
28,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.6666666666666665,2.555555555555556,2.4285714285714297,2.3333333333333335,2.2444444444444445,2.1666666666666665,2.0980392156862755,2.0370370370370403,1.9803921568627478,1.9237472766884531,1.8671023965141609,1.8104575163398693,1.7538126361655804,1.697167755991285,1.6405228758170096,1.5838779956427018,1.5282651072124755,1.4736842105263155,1.4245614035087715,1.377777777777778,1.3333333333333337
